,ID hecho,AAA,MM,DD,VEHICULO_VICTIMA,SEXO,EDAD_VICTIMA,GRAVEDAD
19490,LC-2021-0145336,2021,3,30,SD,MASCULINO,46,SD
19491,LC-2021-0161058,2021,3,17,PEATON,FEMENINO,62,SD
19492,LC-2021-0163637,2021,4,8,SD,MASCULINO,22,GRAVE
19493,LC-2021-0182185,2021,4,20,PEATON,FEMENINO,28,SD
19494,LC-2021-0197336,2021,4,29,CICLISTA,MASCULINO,25,SD
19495,LC-2021-0223335,2021,5,16,SD,SD,0,SD
19496,LC-2021-0324409,2021,7,10,PEATON,MASCULINO,41,SD
19497,LC-2021-0334954,2021,7,8,PEATON,MASCULINO,65,SD
19498,LC-2021-0374526,2021,7,27,SD,MASCULINO,54,SD
19499,LC-2021-0417820,2021,8,23,AUTO,FEMENINO,35,SD
19500,LC-2021-0443107,2021,9,7,SD,MASCULINO,40,SD
19501,LC-2021-0444365,2021,9,7,SD,MASCULINO,49,SD
19502,LC-2021-0493737,2021,10,4,CICLISTA,MASCULINO,30,SD
19503,LC-2021-0509852,2021,10,14,MOTO,MASCULINO,54,SD
19504,LC-2021-0522971,2021,10,21,SD,FEMENINO,51,SD
19505,LC-2021-0532329,2021,10,21,SD,FEMENINO,25,SD
19506,LC-2021-0533195,2021,10,22,SD,MASCULINO,58,SD
19507,LC-2021-0543402,2021,11,1,CICLISTA,MASCULINO,38,SD
19508,LC-2021-0611098,2021,12,8,SD,MASCULINO,29,SD
19509,LC-2021-0621975,2021,12,14,MOTO,MASCULINO,47,SD
19510,LC-2021-0626907,2021,12,14,MOTO,MASCULINO,26,SD
19511,LC-2021-0640102,2021,12,23,SD,MASCULINO,48,SD
19512,LC-2021-0640887,2021,12,23,SD,MASCULINO,56,SD
19513,LC-2021-0648663,2021,12,27,SD,MASCULINO,47,SD
19514,LC-2021-0652018,2021,12,31,SD,MASCULINO,45,SD
19515,LC-2021-0004758,2021,1,5,PEATON,FEMENINO,0,GRAVE
